# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	13584	14393	+	WP_003665494.1	WP_003665494.1		FKBP-type peptidyl-prolyl cis-trans isomerase		66584910	MC195_RS00065	810	269	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	14563	15213	+					leuE	66584911	MC195_RS00070	651		old_locus_tag=MC195_00070
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	14563	15213	+	WP_003657084.1	WP_003657084.1		leucine efflux protein LeuE	leuE	66584911	MC195_RS00070	651	216	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	15286	16281	+						66584912	MC195_RS00075	996		old_locus_tag=MC195_00075
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	15286	16281	+	WP_003657083.1	WP_003657083.1		hypothetical protein		66584912	MC195_RS00075	996	331	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	16400	16777	-						66584913	MC195_RS00080	378		old_locus_tag=MC195_00080
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	16400	16777	-	WP_003663885.1	WP_003663885.1		rhodanese-like domain-containing protein		66584913	MC195_RS00080	378	125	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	16842	17402	-						66584914	MC195_RS00085	561		old_locus_tag=MC195_00085
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	16842	17402	-	WP_003663883.1	WP_003663883.1		DUF302 domain-containing protein		66584914	MC195_RS00085	561	186	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	17577	18371	-						66584915	MC195_RS00090	795		old_locus_tag=MC195_00090
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	17577	18371	-	WP_003657080.1	WP_003657080.1		acetoin reductase		66584915	MC195_RS00090	795	264	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	18871	20214	+						66584916	MC195_RS00095	1344		old_locus_tag=MC195_00095
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	18871	20214	+	WP_003658680.1	WP_003658680.1		FAD-dependent oxidoreductase		66584916	MC195_RS00095	1344	447	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	20318	21346	-						66584917	MC195_RS00100	1029		old_locus_tag=MC195_00100
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	20318	21346	-	WP_081569689.1	WP_081569689.1		bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase		66584917	MC195_RS00100	1029	342	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	21587	22198	+					nfuA	66584918	MC195_RS00105	612		old_locus_tag=MC195_00105
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	21587	22198	+	WP_003657076.1	WP_003657076.1		Fe-S biogenesis protein NfuA	nfuA	66584918	MC195_RS00105	612	203	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	22317	23336	-						66584919	MC195_RS00110	1020		old_locus_tag=MC195_00110
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	22317	23336	-	WP_063454106.1	WP_063454106.1		adenosine kinase		66584919	MC195_RS00110	1020	339	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	23445	23894	-						66584920	MC195_RS00115	450		old_locus_tag=MC195_00115
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	23445	23894	-	WP_003658675.1	WP_003658675.1		universal stress protein		66584920	MC195_RS00115	450	149	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	24167	27136	+						66584921	MC195_RS00120	2970		old_locus_tag=MC195_00120
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	24167	27136	+	WP_081569690.1	WP_081569690.1		insulinase family protein		66584921	MC195_RS00120	2970	989	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	27242	28462	-						66584922	MC195_RS00125	1221		old_locus_tag=MC195_00125
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	27242	28462	-	WP_081569691.1	WP_081569691.1		NAD(P)/FAD-dependent oxidoreductase		66584922	MC195_RS00125	1221	406	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	28647	29279	+					pgsA	66584923	MC195_RS00130	633		old_locus_tag=MC195_00130
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	28647	29279	+	WP_179853443.1	WP_179853443.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA	66584923	MC195_RS00130	633	210	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	29509	30270	-					pnuC	66584924	MC195_RS00135	762		old_locus_tag=MC195_00135
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	29509	30270	-	WP_081569692.1	WP_081569692.1		nicotinamide riboside transporter PnuC	pnuC	66584924	MC195_RS00135	762	253	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	30285	31340	-					nadR	66584925	MC195_RS00140	1056		old_locus_tag=MC195_00140
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	30285	31340	-	WP_081569693.1	WP_081569693.1		multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR	nadR	66584925	MC195_RS00140	1056	351	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	31680	31925	+						66584926	MC195_RS00145	246		old_locus_tag=MC195_00145
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	31680	31925	+	WP_003657061.1	WP_003657061.1		PspC domain-containing protein		66584926	MC195_RS00145	246	81	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	32099	33037	+					glyQ	66584927	MC195_RS00150	939		old_locus_tag=MC195_00150
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	32099	33037	+	WP_004463442.1	WP_004463442.1		glycine--tRNA ligase subunit alpha	glyQ	66584927	MC195_RS00150	939	312	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	33259	35337	+					glyS	66584928	MC195_RS00155	2079		old_locus_tag=MC195_00155
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	33259	35337	+	WP_081569694.1	WP_081569694.1		glycine--tRNA ligase subunit beta	glyS	66584928	MC195_RS00155	2079	692	
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	35384	35474	+						66584929	MC195_RS00160	91		old_locus_tag=MC195_00160
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	35384	35474	+				tRNA-Ser		66584929	MC195_RS00160	91		anticodon=GGA
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	35582	36349	-					aat	66584930	MC195_RS00165	768		old_locus_tag=MC195_00165
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	35582	36349	-	WP_003657038.1	WP_003657038.1		leucyl/phenylalanyl-tRNA--protein transferase	aat	66584930	MC195_RS00165	768	255	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	36436	37698	-					glyA	66584931	MC195_RS00170	1263		old_locus_tag=MC195_00170
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	36436	37698	-	WP_003657037.1	WP_003657037.1		serine hydroxymethyltransferase	glyA	66584931	MC195_RS00170	1263	420	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	37834	38316	-						66584932	MC195_RS00175	483		old_locus_tag=MC195_00175
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	37834	38316	-	WP_003657036.1	WP_003657036.1		chorismate lyase		66584932	MC195_RS00175	483	160	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	38740	40338	+						66584933	MC195_RS00180	1599		old_locus_tag=MC195_00180
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	38740	40338	+	WP_003670238.1	WP_003670238.1		isocitrate lyase		66584933	MC195_RS00180	1599	532	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	40496	42658	+						66584934	MC195_RS00185	2163		old_locus_tag=MC195_00185
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	40496	42658	+	WP_081569695.1	WP_081569695.1		malate synthase G		66584934	MC195_RS00185	2163	720	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	42975	46469	-						66584935	MC195_RS00195	3495		old_locus_tag=MC195_00195
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	42975	46469	-	WP_003670233.1	WP_003670233.1		Rne/Rng family ribonuclease		66584935	MC195_RS00195	3495	1164	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	47238	48386	+						66584936	MC195_RS00200	1149		old_locus_tag=MC195_00200
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	47238	48386	+	WP_003670232.1	WP_003670232.1		RluA family pseudouridine synthase		66584936	MC195_RS00200	1149	382	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	48495	50045	+					ppx	66584937	MC195_RS00205	1551		old_locus_tag=MC195_00205
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	48495	50045	+	WP_003660952.1	WP_003660952.1		exopolyphosphatase	ppx	66584937	MC195_RS00205	1551	516	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	50180	50977	+						66584938	MC195_RS00210	798		old_locus_tag=MC195_00210
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	50180	50977	+	WP_003657031.1	WP_003657031.1		acetyl-CoA carboxylase carboxyltransferase subunit alpha		66584938	MC195_RS00210	798	265	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	51072	52427	+					tilS	66584939	MC195_RS00215	1356		old_locus_tag=MC195_00215
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	51072	52427	+	WP_081569696.1	WP_081569696.1		tRNA lysidine(34) synthetase TilS	tilS	66584939	MC195_RS00215	1356	451	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	52554	53399	+					proC	66584940	MC195_RS00220	846		old_locus_tag=MC195_00220
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	52554	53399	+	WP_081569697.1	WP_081569697.1		pyrroline-5-carboxylate reductase	proC	66584940	MC195_RS00220	846	281	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	53507	53998	+						66584941	MC195_RS00225	492		old_locus_tag=MC195_00225
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	53507	53998	+	WP_237049740.1	WP_237049740.1		YggT family protein		66584941	MC195_RS00225	492	163	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	54060	54857	-						66584942	MC195_RS00230	798		old_locus_tag=MC195_00230
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	54060	54857	-	WP_003657026.1	WP_003657026.1		hydroxymethylpyrimidine/phosphomethylpyrimidine kinase		66584942	MC195_RS00230	798	265	
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55093	55184	+						66584943	MC195_RS00235	92		old_locus_tag=MC195_00235
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55093	55184	+				tRNA-Ser		66584943	MC195_RS00235	92		anticodon=GCT
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55299	55375	+						66584944	MC195_RS00240	77		old_locus_tag=MC195_00240
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55299	55375	+				tRNA-Arg		66584944	MC195_RS00240	77		anticodon=ACG
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55456	56124	+						66584945	MC195_RS00245	669		old_locus_tag=MC195_00245
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	55456	56124	+	WP_003660957.1	WP_003660957.1		RDD family protein		66584945	MC195_RS00245	669	222	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	56145	57554	-					hemN	66584946	MC195_RS00250	1410		old_locus_tag=MC195_00250
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	56145	57554	-	WP_038519053.1	WP_038519053.1		oxygen-independent coproporphyrinogen III oxidase	hemN	66584946	MC195_RS00250	1410	469	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	57741	58313	-					pth	66584947	MC195_RS00255	573		old_locus_tag=MC195_00255
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	57741	58313	-	WP_003673379.1	WP_003673379.1		aminoacyl-tRNA hydrolase	pth	66584947	MC195_RS00255	573	190	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	58390	59061	-						66584948	MC195_RS00260	672		old_locus_tag=MC195_00260
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	58390	59061	-	WP_003658644.1	WP_003658644.1		50S ribosomal protein L25/general stress protein Ctc		66584948	MC195_RS00260	672	223	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	59537	61033	+					putP	66584949	MC195_RS00265	1497		old_locus_tag=MC195_00265
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	59537	61033	+	WP_003657018.1	WP_003657018.1		sodium/proline symporter PutP	putP	66584949	MC195_RS00265	1497	498	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	61432	61647	+					rpsU	66584950	MC195_RS00270	216		old_locus_tag=MC195_00270
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	61432	61647	+	WP_003657016.1	WP_003657016.1		30S ribosomal protein S21	rpsU	66584950	MC195_RS00270	216	71	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	61813	62088	-					minE	66584951	MC195_RS00275	276		old_locus_tag=MC195_00275
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	61813	62088	-	WP_003657015.1	WP_003657015.1		cell division topological specificity factor MinE	minE	66584951	MC195_RS00275	276	91	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	62091	62906	-					minD	66584952	MC195_RS00280	816		old_locus_tag=MC195_00280
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	62091	62906	-	WP_003657013.1	WP_003657013.1		septum site-determining protein MinD	minD	66584952	MC195_RS00280	816	271	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	63061	63843	-					minC	66584953	MC195_RS00285	783		old_locus_tag=MC195_00285
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	63061	63843	-	WP_003657011.1	WP_003657011.1		septum site-determining protein MinC	minC	66584953	MC195_RS00285	783	260	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	64002	65045	-						66584954	MC195_RS00290	1044		old_locus_tag=MC195_00290
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	64002	65045	-	WP_081569698.1	WP_081569698.1		hypothetical protein		66584954	MC195_RS00290	1044	347	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	65227	66183	-						66584955	MC195_RS00295	957		old_locus_tag=MC195_00295
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	65227	66183	-	WP_003658641.1	WP_003658641.1		acyltransferase		66584955	MC195_RS00295	957	318	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	66540	67214	+						66584956	MC195_RS00300	675		old_locus_tag=MC195_00300
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	66540	67214	+	WP_003658639.1	WP_003658639.1		OmpA family protein		66584956	MC195_RS00300	675	224	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	67843	68367	+						66584957	MC195_RS00305	525		old_locus_tag=MC195_00305
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	67843	68367	+	WP_003663156.1	WP_003663156.1		c-type cytochrome		66584957	MC195_RS00305	525	174	
gene	tRNA	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	68636	68712	-						66584958	MC195_RS00310	77		old_locus_tag=MC195_00310
tRNA		GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	68636	68712	-				tRNA-Pro		66584958	MC195_RS00310	77		anticodon=GGG
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	68926	70398	-					gatB	66584959	MC195_RS00315	1473		old_locus_tag=MC195_00315
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	68926	70398	-	WP_081569699.1	WP_081569699.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB	66584959	MC195_RS00315	1473	490	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	70432	71373	-						66584960	MC195_RS00320	942		old_locus_tag=MC195_00320
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	70432	71373	-	WP_003657002.1	WP_003657002.1		class A beta-lactamase BRO-1		66584960	MC195_RS00320	942	313	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	71449	72927	-					gatA	66584961	MC195_RS00325	1479		old_locus_tag=MC195_00325
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	71449	72927	-	WP_081569700.1	WP_081569700.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA	66584961	MC195_RS00325	1479	492	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	73026	73313	-					gatC	66584962	MC195_RS00330	288		old_locus_tag=MC195_00330
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	73026	73313	-	WP_003658632.1	WP_003658632.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC	66584962	MC195_RS00330	288	95	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	73630	74241	+						66584963	MC195_RS00335	612		old_locus_tag=MC195_00335
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	73630	74241	+	WP_003656996.1	WP_003656996.1		Maf family protein		66584963	MC195_RS00335	612	203	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	74428	76056	+						66584964	MC195_RS00340	1629		old_locus_tag=MC195_00340
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	74428	76056	+	WP_003658629.1	WP_003658629.1		Rne/Rng family ribonuclease		66584964	MC195_RS00340	1629	542	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	76457	76768	+					rpsJ	66584965	MC195_RS00345	312		old_locus_tag=MC195_00345
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	76457	76768	+	WP_003656991.1	WP_003656991.1		30S ribosomal protein S10	rpsJ	66584965	MC195_RS00345	312	103	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	76821	77459	+					rplC	66584966	MC195_RS00350	639		old_locus_tag=MC195_00350
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	76821	77459	+	WP_003656990.1	WP_003656990.1		50S ribosomal protein L3	rplC	66584966	MC195_RS00350	639	212	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	77474	78076	+					rplD	66584967	MC195_RS00355	603		old_locus_tag=MC195_00355
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	77474	78076	+	WP_003656988.1	WP_003656988.1		50S ribosomal protein L4	rplD	66584967	MC195_RS00355	603	200	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	78073	78402	+					rplW	66584968	MC195_RS00360	330		old_locus_tag=MC195_00360
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	78073	78402	+	WP_003656987.1	WP_003656987.1		50S ribosomal protein L23	rplW	66584968	MC195_RS00360	330	109	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	78413	79240	+					rplB	66584969	MC195_RS00365	828		old_locus_tag=MC195_00365
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	78413	79240	+	WP_003656985.1	WP_003656985.1		50S ribosomal protein L2	rplB	66584969	MC195_RS00365	828	275	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	79253	79528	+					rpsS	66584970	MC195_RS00370	276		old_locus_tag=MC195_00370
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	79253	79528	+	WP_003656984.1	WP_003656984.1		30S ribosomal protein S19	rpsS	66584970	MC195_RS00370	276	91	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	79538	79867	+					rplV	66584971	MC195_RS00375	330		old_locus_tag=MC195_00375
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	79538	79867	+	WP_003656983.1	WP_003656983.1		50S ribosomal protein L22	rplV	66584971	MC195_RS00375	330	109	
