# ANI ranges report for assembly: GCA_002080125.1
# Submitted organism: Moraxella catarrhalis (taxid = 480, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella)
# Submitted Organism Has Type Assembly: Yes
# Best match: Moraxella catarrhalis (taxid = 480, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP018059.1	CIRCULAR	248021	250070	1954607	LS483445.1	1016628	1018676	GCA_900476075.1	Moraxella catarrhalis	97.0244	96	0.10488
-	CP018059.1	CIRCULAR	251114	252973	1954607	LS483445.1	1020481	1022334	GCA_900476075.1	Moraxella catarrhalis	98.1183	96	0.0951598
S	CP018059.1	CIRCULAR	256734	256844	1954607	MUXV01000074.1	9391	9501	GCA_002014975.1	Moraxella bovis	91.9643	96	0.00567889
-	CP018059.1	CIRCULAR	257175	257648	1954607	LS483445.1	1026165	1026638	GCA_900476075.1	Moraxella catarrhalis	96.2105	96	0.0242504
-	CP018059.1	CIRCULAR	270261	313406	1954607	LS483445.1	1419809	1462945	GCA_900476075.1	Moraxella catarrhalis	99.5189	96	2.2074
-	CP018059.1	CIRCULAR	313407	393893	1954607	LS483445.1	1339264	1419745	GCA_900476075.1	Moraxella catarrhalis	99.5189	96	4.11781
-	CP018059.1	CIRCULAR	394056	461829	1954607	LS483445.1	1271434	1339263	GCA_900476075.1	Moraxella catarrhalis	99.0691	96	3.4674
-	CP018059.1	CIRCULAR	461830	472838	1954607	LS483445.1	1256324	1267335	GCA_900476075.1	Moraxella catarrhalis	99.0691	96	0.563233
-	CP018059.1	CIRCULAR	472839	473350	1954607	LS483445.1	1255724	1256233	GCA_900476075.1	Moraxella catarrhalis	99.0691	96	0.0261945
-	CP018059.1	CIRCULAR	473655	473789	1954607	LS483445.1	356847	356981	GCA_900476075.1	Moraxella catarrhalis	96.2963	96	0.00690676
-	CP018059.1	CIRCULAR	473868	530056	1954607	LS483445.1	1198910	1255089	GCA_900476075.1	Moraxella catarrhalis	99.5658	96	2.8747
S	CP018059.1	CIRCULAR	531662	535671	1954607	FTNU01000023.1	26807	30831	GCA_900156515.1	Moraxella cuniculi	80.8432	96	0.205156
S	CP018059.1	CIRCULAR	535969	537633	1954607	CP089974.1	836870	838536	GCA_030177935.1	Moraxella haemolytica	92.9898	96	0.0851834
S	CP018059.1	CIRCULAR	559059	559419	1954607	MXAN01000049.1	17099	17456	GCA_002027545.1	Moraxella lacunata	80.1105	95	0.0184692
-	CP018059.1	CIRCULAR	559497	559835	1954607	LS483445.1	1025825	1026163	GCA_900476075.1	Moraxella catarrhalis	96.4706	96	0.0173436
-	CP018059.1	CIRCULAR	561449	561760	1954607	LS483445.1	1026639	1026950	GCA_900476075.1	Moraxella catarrhalis	96.7949	96	0.0159623
S	CP018059.1	CIRCULAR	566723	568027	1954607	CP089975.1	1081406	1082710	GCA_029581575.1	Moraxella nasibovis	88.046	96	0.0667653
-	CP018059.1	CIRCULAR	568070	615783	1954607	LS483445.1	1151190	1198909	GCA_900476075.1	Moraxella catarrhalis	99.2379	96	2.4411
-	CP018059.1	CIRCULAR	615784	616588	1954607	LS483445.1	1149387	1150191	GCA_900476075.1	Moraxella catarrhalis	99.2379	96	0.0411847
-	CP018059.1	CIRCULAR	617170	682552	1954607	LS483445.1	1083406	1148819	GCA_900476075.1	Moraxella catarrhalis	98.8292	96	3.34507
-	CP018059.1	CIRCULAR	683065	737808	1954607	LS483445.1	1028060	1082808	GCA_900476075.1	Moraxella catarrhalis	99.2332	96	2.80077
S	CP018059.1	CIRCULAR	738833	739018	1954607	MUYT01000001.1	113176	113360	GCA_002014765.1	Moraxella lincolnii	88.7097	96	0.00951598
S	CP018059.1	CIRCULAR	739049	739317	1954607	CP065728.1	1053325	1053593	GCA_016028775.1	Moraxella nonliquefaciens	90	96	0.0137624
S	CP018059.1	CIRCULAR	739739	742098	1954607	CP065728.1	1049791	1052150	GCA_016028775.1	Moraxella nonliquefaciens	93.787	96	0.12074
-	CP018059.1	CIRCULAR	744020	900125	1954607	LS483445.1	854821	1011010	GCA_900476075.1	Moraxella catarrhalis	99.2832	96	7.98657
-	CP018059.1	CIRCULAR	900329	909323	1954607	LS483445.1	815423	824419	GCA_900476075.1	Moraxella catarrhalis	98.5176	96	0.460195
-	CP018059.1	CIRCULAR	909324	910767	1954607	LS483445.1	803010	804452	GCA_900476075.1	Moraxella catarrhalis	98.5176	96	0.0738767
S	CP018059.1	CIRCULAR	910768	910912	1954607	JAMBAQ010000005.1	107974	108118	GCA_023336735.1	Moraxella oculi	97.9452	96	0.00741837
-	CP018059.1	CIRCULAR	910998	912870	1954607	LS483445.1	806249	808121	GCA_900476075.1	Moraxella catarrhalis	99.7864	96	0.0958249
S	CP018059.1	CIRCULAR	912871	913382	1954607	CP065728.1	433963	434474	GCA_016028775.1	Moraxella nonliquefaciens	98.2456	96	0.0261945
S	CP018059.1	CIRCULAR	913739	914803	1954607	CP065728.1	427237	428301	GCA_016028775.1	Moraxella nonliquefaciens	98.4038	96	0.0544867
-	CP018059.1	CIRCULAR	914804	920875	1954607	LS483445.1	808342	814413	GCA_900476075.1	Moraxella catarrhalis	99.144	96	0.310651
S	CP018059.1	CIRCULAR	920910	921010	1954607	JAMBAQ010000001.1	266747	266847	GCA_023336735.1	Moraxella oculi	98.0198	96	0.00516728
S	CP018059.1	CIRCULAR	922473	923515	1954607	JAMBAQ010000011.1	895	1936	GCA_023336735.1	Moraxella oculi	81.1303	96	0.0533611
S	CP018059.1	CIRCULAR	923721	923880	1954607	CP065728.1	403008	403167	GCA_016028775.1	Moraxella nonliquefaciens	91.25	96	0.00818579
S	CP018059.1	CIRCULAR	924858	925108	1954607	CP011158.1	1979894	1980144	GCA_001636015.1	Moraxella ovis	92.0319	96	0.0128415
-	CP018059.1	CIRCULAR	925247	926770	1954607	LS483445.1	804462	805985	GCA_900476075.1	Moraxella catarrhalis	99.6719	96	0.0779696
-	CP018059.1	CIRCULAR	926840	927258	1954607	LS483445.1	790050	790468	GCA_900476075.1	Moraxella catarrhalis	98.8067	96	0.0214365
S	CP018059.1	CIRCULAR	927652	928401	1954607	JAMBAQ010000027.1	3095	3845	GCA_023336735.1	Moraxella oculi	89.243	96	0.0383709
S	CP018059.1	CIRCULAR	930010	930620	1954607	CP011158.1	1993198	1993799	GCA_001636015.1	Moraxella ovis	74.0741	96	0.0312595
S	CP018059.1	CIRCULAR	930621	930792	1954607	CP089977.1	2095093	2095264	GCA_025643275.1	Moraxella nasicaprae	87.8613	96	0.00879972
S	CP018059.1	CIRCULAR	930800	931768	1954607	CP011158.1	1975965	1976933	GCA_001636015.1	Moraxella ovis	89.5876	96	0.0495752
S	CP018059.1	CIRCULAR	931802	932374	1954607	CP089977.1	2092905	2093477	GCA_025643275.1	Moraxella nasicaprae	84.7487	96	0.0293154
S	CP018059.1	CIRCULAR	934073	934579	1954607	MUYV01000005.1	269998	270505	GCA_002014855.1	Moraxella porci	96.063	96	0.0259387
S	CP018059.1	CIRCULAR	935497	936756	1954607	UGQB01000004.1	625740	626994	GCA_900453285.1	Moraxella caprae	81.3972	96	0.0644631
S	CP018059.1	CIRCULAR	938525	939805	1954607	JAMBAQ010000005.1	105569	106852	GCA_023336735.1	Moraxella oculi	84.7458	96	0.0655375
S	CP018059.1	CIRCULAR	939806	940356	1954607	CP011158.1	1990150	1990700	GCA_001636015.1	Moraxella ovis	90.3811	96	0.0281898
-	CP018059.1	CIRCULAR	940357	952177	1954607	LS483445.1	790469	802293	GCA_900476075.1	Moraxella catarrhalis	99.3912	96	0.604776
S	CP018059.1	CIRCULAR	952178	953978	1954607	CP011158.1	1962381	1964181	GCA_001636015.1	Moraxella ovis	95.7341	96	0.0921413
S	CP018059.1	CIRCULAR	955430	955860	1954607	LR134343.1	348973	349403	GCA_900637105.1	Moraxella cuniculi	93.5035	96	0.0220505
S	CP018059.1	CIRCULAR	955861	956651	1954607	CP065728.1	435427	436217	GCA_016028775.1	Moraxella nonliquefaciens	98.3565	96	0.0404685
S	CP018059.1	CIRCULAR	956869	957361	1954607	CP011158.1	1012770	1013262	GCA_001636015.1	Moraxella ovis	94.5233	96	0.0252225
S	CP018059.1	CIRCULAR	958886	959319	1954607	CP011158.1	1013574	1014008	GCA_001636015.1	Moraxella ovis	97.4713	96	0.022204
S	CP018059.1	CIRCULAR	959703	960805	1954607	CP011158.1	1986962	1988063	GCA_001636015.1	Moraxella ovis	98.5494	96	0.0564308
S	CP018059.1	CIRCULAR	960806	961134	1954607	JAMBAQ010000005.1	110914	111244	GCA_023336735.1	Moraxella oculi	96.6867	96	0.016832
-	CP018059.1	CIRCULAR	961135	994264	1954607	LS483445.1	756871	789991	GCA_900476075.1	Moraxella catarrhalis	99.5806	96	1.69497
-	CP018059.1	CIRCULAR	994265	999755	1954607	LS483445.1	750613	756102	GCA_900476075.1	Moraxella catarrhalis	99.5806	96	0.280926
-	CP018059.1	CIRCULAR	1001043	1034696	1954607	LS483445.1	716324	749961	GCA_900476075.1	Moraxella catarrhalis	99.0435	96	1.72178
S	CP018059.1	CIRCULAR	1034697	1035299	1954607	CP065728.1	577203	577790	GCA_016028775.1	Moraxella nonliquefaciens	86.2969	96	0.0308502
-	CP018059.1	CIRCULAR	1035300	1035780	1954607	LS483445.1	715207	715693	GCA_900476075.1	Moraxella catarrhalis	88.9571	96	0.0246085
S	CP018059.1	CIRCULAR	1035781	1036538	1954607	CP065728.1	578269	579020	GCA_016028775.1	Moraxella nonliquefaciens	91.6887	96	0.0387802
-	CP018059.1	CIRCULAR	1036539	1108773	1954607	LS483445.1	642114	714397	GCA_900476075.1	Moraxella catarrhalis	98.7244	96	3.69563
-	CP018059.1	CIRCULAR	1108774	1110316	1954607	LS483445.1	634621	636163	GCA_900476075.1	Moraxella catarrhalis	98.7244	96	0.0789417
-	CP018059.1	CIRCULAR	1110317	1112679	1954607	LS483445.1	637142	639498	GCA_900476075.1	Moraxella catarrhalis	98.7244	96	0.120894
-	CP018059.1	CIRCULAR	1113708	1114355	1954607	LS483445.1	640479	641141	GCA_900476075.1	Moraxella catarrhalis	80.9807	96	0.0331524
-	CP018059.1	CIRCULAR	1114462	1115336	1954607	LS483445.1	641221	642113	GCA_900476075.1	Moraxella catarrhalis	98.7795	96	0.044766
-	CP018059.1	CIRCULAR	1115337	1138216	1954607	LS483445.1	611705	634620	GCA_900476075.1	Moraxella catarrhalis	98.7795	96	1.17057
-	CP018059.1	CIRCULAR	1138217	1154117	1954607	LS483445.1	595486	611402	GCA_900476075.1	Moraxella catarrhalis	98.7795	96	0.813514
-	CP018059.1	CIRCULAR	1154118	1155013	1954607	LS483445.1	594388	595281	GCA_900476075.1	Moraxella catarrhalis	98.7795	96	0.0458404
-	CP018059.1	CIRCULAR	1159822	1198588	1954607	LS483445.1	550890	589650	GCA_900476075.1	Moraxella catarrhalis	99.3528	96	1.98337
-	CP018059.1	CIRCULAR	1201144	1318251	1954607	LS483445.1	431913	549027	GCA_900476075.1	Moraxella catarrhalis	99.1306	96	5.99138
-	CP018059.1	CIRCULAR	1318252	1334425	1954607	LS483445.1	415568	431804	GCA_900476075.1	Moraxella catarrhalis	99.1306	96	0.827481
S	CP018059.1	CIRCULAR	1334426	1334708	1954607	MUXT01000001.1	336113	336394	GCA_002014965.1	Moraxella canis	87.3684	96	0.0144786
-	CP018059.1	CIRCULAR	1334709	1358645	1954607	LS483445.1	391243	415186	GCA_900476075.1	Moraxella catarrhalis	99.6367	96	1.22465
-	CP018059.1	CIRCULAR	1358706	1363552	1954607	LS483445.1	386396	391242	GCA_900476075.1	Moraxella catarrhalis	99.0097	96	0.247978
-	CP018059.1	CIRCULAR	1364103	1392572	1954607	LS483445.1	357398	385815	GCA_900476075.1	Moraxella catarrhalis	98.5403	96	1.45656
-	CP018059.1	CIRCULAR	1392573	1392700	1954607	LS483445.1	357060	357187	GCA_900476075.1	Moraxella catarrhalis	98.5403	96	0.00654863
-	CP018059.1	CIRCULAR	1393436	1460783	1954607	LS483445.1	288878	356267	GCA_900476075.1	Moraxella catarrhalis	99.284	96	3.4456
-	CP018059.1	CIRCULAR	1460784	1637757	1954607	LS483445.1	111863	288789	GCA_900476075.1	Moraxella catarrhalis	99.284	96	9.0542
-	CP018059.1	CIRCULAR	1637758	1703393	1954607	LS483445.1	43760	109395	GCA_900476075.1	Moraxella catarrhalis	99.284	96	3.35802
-	CP018059.1	CIRCULAR	1703715	1708415	1954607	LS483445.1	29455	34155	GCA_900476075.1	Moraxella catarrhalis	98.9151	96	0.240509
-	CP018059.1	CIRCULAR	1708416	1708743	1954607	LWAH01000001.1	63591	63918	GCA_001632285.1	Moraxella catarrhalis	72.1739	96	0.0167809
-	CP018059.1	CIRCULAR	1709017	1709196	1954607	LS483445.1	29277	29454	GCA_900476075.1	Moraxella catarrhalis	71.2766	96	0.00920901
-	CP018059.1	CIRCULAR	1709318	1709560	1954607	LS483445.1	28337	28576	GCA_900476075.1	Moraxella catarrhalis	72.0472	96	0.0124322
-	CP018059.1	CIRCULAR	1710279	1710581	1954607	LS483445.1	27919	28220	GCA_900476075.1	Moraxella catarrhalis	70.9375	96	0.0155018
-	CP018059.1	CIRCULAR	1710699	1710935	1954607	LS483445.1	27267	27501	GCA_900476075.1	Moraxella catarrhalis	74.1935	96	0.0121252
-	CP018059.1	CIRCULAR	1710977	1711092	1954607	LWAH01000001.1	63313	63429	GCA_001632285.1	Moraxella catarrhalis	68.5484	96	0.0059347
-	CP018059.1	CIRCULAR	1711294	1711480	1954607	LWAH01000001.1	61763	61942	GCA_001632285.1	Moraxella catarrhalis	72.0207	96	0.00956714
-	CP018059.1	CIRCULAR	1711481	1738789	1954607	LS483445.1	1	27260	GCA_900476075.1	Moraxella catarrhalis	99.0468	96	1.39716
-	CP018059.1	CIRCULAR	1738790	1764004	1954607	LS483445.1	1882756	1907984	GCA_900476075.1	Moraxella catarrhalis	99.0468	96	1.29003
S	CP018059.1	CIRCULAR	1764005	1765643	1954607	MXAN01000126.1	15938	17576	GCA_002027545.1	Moraxella lacunata	94.5122	95	0.0838532
S	CP018059.1	CIRCULAR	1765644	1765847	1954607	CP065728.1	523116	523321	GCA_016028775.1	Moraxella nonliquefaciens	88.835	96	0.0104369
-	CP018059.1	CIRCULAR	1765964	1835839	1954607	LS483445.1	1811719	1881571	GCA_900476075.1	Moraxella catarrhalis	99.4091	96	3.57494
S	CP018059.1	CIRCULAR	1835840	1837817	1954607	MUYT01000008.1	102606	104592	GCA_002014765.1	Moraxella lincolnii	93.4071	96	0.101197
S	CP018059.1	CIRCULAR	1837880	1839653	1954607	MUYT01000008.1	99816	101589	GCA_002014765.1	Moraxella lincolnii	98.1962	96	0.0907599
-	CP018059.1	CIRCULAR	1839654	1840370	1954607	LS483445.1	1808570	1809286	GCA_900476075.1	Moraxella catarrhalis	97.8576	96	0.0366826
-	CP018059.1	CIRCULAR	1840371	1841100	1954607	LS483445.1	1807581	1808309	GCA_900476075.1	Moraxella catarrhalis	97.8576	96	0.0373477
S	CP018059.1	CIRCULAR	1841101	1841219	1954607	MUYT01000008.1	115521	115655	GCA_002014765.1	Moraxella lincolnii	81.6176	96	0.00608818
-	CP018059.1	CIRCULAR	1841220	1954607	1954607	LS483445.1	1692231	1805562	GCA_900476075.1	Moraxella catarrhalis	99.4797	96	5.80106
S	CP018060.1	CIRCULAR|PLASMID	834	1087	39779	UGPW01000002.1	7348	7601	GCA_900453105.1	Moraxella ovis	79.7665	96	0.638528
S	CP018060.1	CIRCULAR|PLASMID	1088	2855	39779	CP011159.1	1	1774	GCA_001636015.1	Moraxella ovis	85.2974	96	4.44456
S	CP018060.1	CIRCULAR|PLASMID	4149	4932	39779	UGPW01000002.1	4782	5565	GCA_900453105.1	Moraxella ovis	87.3937	96	1.97089
S	CP018060.1	CIRCULAR|PLASMID	4933	5400	39779	UGPW01000002.1	4124	4594	GCA_900453105.1	Moraxella ovis	87.3937	96	1.1765
S	CP018060.1	CIRCULAR|PLASMID	5401	6122	39779	UGPW01000002.1	43554	44273	GCA_900453105.1	Moraxella ovis	87.3937	96	1.81503
S	CP018060.1	CIRCULAR|PLASMID	13268	14058	39779	UGPW01000002.1	34883	35664	GCA_900453105.1	Moraxella ovis	86.633	96	1.98849
S	CP018060.1	CIRCULAR|PLASMID	14059	14777	39779	MUYU01000038.1	3009	3727	GCA_002014825.1	Moraxella pluranimalium	97.9138	96	1.80749
